"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.574440900E-2,1.000000047E-3,5.999999866E-2,-1.499999966E-2,6.185466700E-2
1.007257170E-1,1.000000047E-3,3.099999949E-2,-7.000000216E-3,3.179622575E-2
1.057071760E-1,0.000000000E0,-1.000000047E-3,0.000000000E0,1.000000047E-3
1.106884090E-1,-3.000000026E-3,-5.299999937E-2,1.400000043E-2,5.489990843E-2
1.156697170E-1,-4.999999888E-3,-7.800000161E-2,1.999999955E-2,8.067837524E-2
1.206509390E-1,-6.000000052E-3,-9.700000286E-2,2.600000054E-2,1.006031838E-1
1.256321690E-1,-4.999999888E-3,-7.500000298E-2,1.999999955E-2,7.778174868E-2
1.306136290E-1,-2.000000095E-3,-3.999999911E-2,1.099999994E-2,4.153311844E-2
1.355948620E-1,0.000000000E0,2.000000095E-3,0.000000000E0,2.000000095E-3
1.405761670E-1,1.000000047E-3,3.299999982E-2,-8.999999613E-3,3.421987699E-2
1.455573950E-1,1.000000047E-3,2.800000086E-2,-7.000000216E-3,2.887905905E-2
1.505388550E-1,1.000000047E-3,4.600000009E-2,-1.200000010E-2,4.754997383E-2
1.555200780E-1,1.000000047E-3,4.800000042E-2,-1.300000027E-2,4.973932094E-2
1.605013830E-1,1.000000047E-3,3.599999845E-2,-8.999999613E-3,3.712142079E-2
1.654826160E-1,1.000000047E-3,2.899999917E-2,-7.000000216E-3,2.984962235E-2
1.704641100E-1,1.000000047E-3,4.699999839E-2,-1.099999994E-2,4.828042924E-2
1.754453420E-1,-1.499999966E-2,6.199999899E-2,9.799999744E-2,1.169316012E-1
1.804266430E-1,-3.599999845E-2,7.800000161E-2,1.850000024E-1,2.039730399E-1
1.854078760E-1,-3.200000152E-2,7.699999958E-2,2.249999940E-1,2.399541568E-1
1.903893350E-1,-1.099999994E-2,6.199999899E-2,2.290000021E-1,2.374994755E-1
1.953706110E-1,6.000000052E-3,3.500000015E-2,2.000000030E-1,2.031280414E-1
2.003519170E-1,2.400000021E-2,1.600000076E-2,1.519999951E-1,1.547126322E-1
