"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.343546300E-2,3.000000026E-3,1.389999986E-1,-7.000000216E-3,1.392084753E-1
9.841696400E-2,3.000000026E-3,1.430000067E-1,-8.000000380E-3,1.432550240E-1
1.033981950E-1,3.000000026E-3,1.289999932E-1,-7.000000216E-3,1.292246039E-1
1.083795020E-1,3.000000026E-3,1.150000021E-1,-6.000000052E-3,1.151954881E-1
1.133609810E-1,3.000000026E-3,9.799999744E-2,-6.000000052E-3,9.822932097E-2
1.183422140E-1,4.000000190E-3,9.799999744E-2,-7.000000216E-3,9.833107089E-2
1.233235430E-1,7.000000216E-3,1.270000041E-1,-9.999999776E-3,1.275852696E-1
1.283047760E-1,9.999999776E-3,1.449999958E-1,-1.200000010E-2,1.458389481E-1
1.332862360E-1,1.400000043E-2,1.979999989E-1,-1.700000092E-2,1.992209819E-1
1.382675420E-1,1.799999923E-2,2.540000081E-1,-2.199999988E-2,2.555856101E-1
1.432487720E-1,1.899999939E-2,3.199999928E-1,-2.700000070E-2,3.216986096E-1
1.482302320E-1,1.799999923E-2,3.610000014E-1,-2.999999933E-2,3.626913301E-1
1.532115510E-1,1.600000076E-2,3.829999864E-1,-2.999999933E-2,3.845061632E-1
1.581927810E-1,1.600000076E-2,4.000000060E-1,-2.700000070E-2,4.012293669E-1
1.631742510E-1,1.499999966E-2,4.129999876E-1,-2.300000004E-2,4.139118140E-1
1.681555610E-1,1.499999966E-2,4.289999902E-1,-1.899999939E-2,4.296824311E-1
1.731370200E-1,-4.500000179E-2,4.839999974E-1,4.500000179E-2,4.881659531E-1
1.781182860E-1,-1.909999996E-1,5.630000234E-1,1.059999987E-1,6.038923960E-1
1.830995920E-1,-3.869999945E-1,6.660000086E-1,1.459999979E-1,7.839904378E-1
1.880810530E-1,-6.140000224E-1,7.689999938E-1,1.770000011E-1,9.998429969E-1
1.930622670E-1,-8.080000281E-1,8.190000057E-1,1.990000010E-1,1.167572719E0
1.980435730E-1,-9.800000191E-1,8.769999743E-1,2.529999912E-1,1.339230371E0
2.030250200E-1,-1.187999964E0,9.779999852E-1,3.179999888E-1,1.571289877E0
2.080062530E-1,-1.439000010E0,1.075999975E0,3.499999940E-1,1.830572854E0
2.129875590E-1,-1.690999985E0,1.184999943E0,3.440000117E-1,2.093332707E0
2.179690630E-1,-1.899000049E0,1.291000009E0,3.149999976E-1,2.317780664E0
2.229503730E-1,-2.062000036E0,1.419000030E0,3.059999943E-1,2.521713947E0
2.279316040E-1,-2.237999916E0,1.593000054E0,3.129999936E-1,2.764825816E0
2.329130920E-1,-2.443000078E0,1.771000028E0,3.840000033E-1,3.041734124E0
2.378944020E-1,-2.726000071E0,1.981999993E0,4.779999852E-1,3.404098169E0
2.428756370E-1,-3.095999956E0,2.224999905E0,5.429999828E-1,3.851063397E0
2.478570960E-1,-3.536999941E0,2.453000069E0,5.950000286E-1,4.345296647E0
2.528384060E-1,-4.063000202E0,2.665999889E0,7.289999723E-1,4.913956350E0
2.578196710E-1,-4.662000179E0,2.878000021E0,8.550000191E-1,5.545101877E0
2.628011300E-1,-5.209000111E0,2.986999989E0,9.399999976E-1,6.077783402E0
2.677824400E-1,-5.618999958E0,2.986999989E0,1.011999965E0,6.443560614E0
2.727636520E-1,-5.864999771E0,2.911000013E0,1.139999986E0,6.646182616E0
2.777451110E-1,-5.813000202E0,2.766999960E0,1.337000012E0,6.575319700E0
2.827263630E-1,-5.755000114E0,2.796000004E0,1.720999956E0,6.625668509E0
2.877076690E-1,-1.468000054E0,3.611000061E0,5.389999747E-1,3.935081521E0
2.926891300E-1,-1.722000003E0,3.819000006E0,3.889999986E-1,4.207299140E0
2.976704640E-1,-1.884999990E0,3.900000095E0,3.280000091E-1,4.344054525E0
3.026516950E-1,-2.111999989E0,3.772000074E0,2.619999945E-1,4.330955150E0
3.076331540E-1,-2.243999958E0,3.532999992E0,3.160000145E-1,4.197318283E0
3.126144500E-1,-2.381999969E0,3.292999983E0,3.319999874E-1,4.077744074E0
3.175956810E-1,-2.698999882E0,3.088999987E0,3.670000136E-1,4.118398996E0
3.225771530E-1,-3.148000002E0,2.861000061E0,3.470000029E-1,4.267977784E0
3.275584630E-1,-3.651000023E0,2.617000103E0,3.449999988E-1,4.505276429E0
3.325399230E-1,-4.251999855E0,2.430999994E0,3.759999871E-1,4.912294752E0
3.375211380E-1,-4.919000149E0,2.292000055E0,3.000000119E-1,5.435055356E0
3.425024430E-1,-5.519000053E0,2.158999920E0,2.649999857E-1,5.932189076E0
3.474839280E-1,-6.085000038E0,2.049000025E0,2.329999954E-1,6.424944791E0
3.524651610E-1,-6.525000095E0,1.940999985E0,1.679999977E-1,6.809649858E0
3.574464660E-1,-6.771999836E0,1.740000010E0,1.600000076E-2,6.991983825E0
3.624279040E-1,-6.790999889E0,1.473000050E0,-1.539999992E-1,6.950620450E0
3.674091370E-1,-6.540999889E0,1.100000024E0,-3.510000110E-1,6.642129223E0
3.723904380E-1,-6.094999790E0,6.800000072E-1,-5.210000277E-1,6.154905644E0
3.773716710E-1,-5.548999786E0,3.050000072E-1,-6.269999743E-1,5.592633780E0
3.823532080E-1,-5.026000023E0,-6.000000052E-3,-6.830000281E-1,5.072198859E0
3.873344400E-1,-4.593999863E0,-3.030000031E-1,-6.470000148E-1,4.649220661E0
3.923159000E-1,-4.162000179E0,-7.009999752E-1,-5.059999824E-1,4.250844909E0
3.972971470E-1,-3.928999901E0,-9.689999819E-1,-6.370000243E-1,4.096555897E0
4.022784520E-1,-3.305999994E0,-7.720000148E-1,-7.839999795E-1,3.484289878E0
4.072599140E-1,-2.607000113E0,-6.809999943E-1,-8.190000057E-1,2.816198073E0
4.122411700E-1,-1.802999973E0,-6.890000105E-1,-5.669999719E-1,2.011720380E0
4.172224750E-1,-1.060999990E0,-7.179999948E-1,-2.109999955E-1,1.298370505E0
4.222039370E-1,-4.629999995E-1,-6.840000153E-1,1.239999980E-1,8.352251313E-1
4.271852470E-1,-5.000000075E-2,-5.569999814E-1,3.840000033E-1,6.783840962E-1
4.321664770E-1,2.310000062E-1,-4.819999933E-1,6.340000033E-1,8.292412198E-1
4.371477080E-1,4.269999862E-1,-5.630000234E-1,8.790000081E-1,1.127802744E0
4.421291680E-1,5.730000138E-1,-7.120000124E-1,1.210999966E0,1.517166421E0
4.471104770E-1,6.209999919E-1,-8.090000153E-1,1.547000051E0,1.852925031E0
4.520919320E-1,6.269999743E-1,-8.700000048E-1,1.942999959E0,2.219296694E0
4.570732420E-1,7.220000029E-1,-9.549999833E-1,2.186000109E0,2.492369444E0
4.620546780E-1,1.008999944E0,-1.152999997E0,2.273999929E0,2.742000284E0
4.670359110E-1,1.567000031E0,-1.570000052E0,2.279999971E0,3.181004422E0
4.720171420E-1,2.437000036E0,-2.299000025E0,2.055000067E0,3.930317489E0
4.769984760E-1,3.687000036E0,-3.276999950E0,1.667000055E0,5.206878828E0
4.819799370E-1,5.122000217E0,-4.189000130E0,1.271000028E0,6.737807461E0
4.869612470E-1,6.400000095E0,-4.596000195E0,1.185999990E0,7.968049635E0
4.919424780E-1,7.407999992E0,-3.835000038E0,3.479999900E-1,8.349059418E0
4.969239370E-1,7.764999866E0,-2.065999985E0,-1.157999992E0,8.118161297E0
5.019052470E-1,7.339000225E0,-3.700000048E-1,-2.619999886E0,7.801424467E0
5.068864680E-1,6.302000046E0,1.001999974E0,-3.831000090E0,7.442833480E0
5.118679270E-1,4.932000160E0,1.855000019E0,-4.789000034E0,7.120405324E0
5.168492370E-1,3.296000004E0,2.273000002E0,-5.218999863E0,6.577849542E0
5.218306960E-1,1.470999956E0,2.494999886E0,-5.256000042E0,6.001200025E0
5.268119290E-1,-2.399999946E-1,2.480999947E0,-5.074999809E0,5.654076741E0
5.317932220E-1,-1.582999945E0,2.209000111E0,-4.651999950E0,5.387640843E0
5.367746830E-1,-2.538000107E0,1.651000023E0,-3.831000090E0,4.883012114E0
5.417559160E-1,-3.049999952E0,7.940000296E-1,-3.286000013E0,4.553101343E0
5.467372220E-1,-3.167999983E0,-1.990000010E-1,-3.075999975E0,4.420135828E0
5.517186840E-1,-2.947000027E0,-1.241000056E0,-2.881999969E0,4.304743212E0
5.566999880E-1,-2.548000097E0,-2.663000107E0,-2.594000101E0,4.506962457E0
5.616812190E-1,-2.016999960E0,-3.700000048E0,-2.857000113E0,5.091241384E0
5.666624500E-1,-1.233999968E0,-4.600999832E0,-2.926000118E0,5.590476909E0
5.716439040E-1,-2.310000062E-1,-5.532000065E0,-3.098000050E0,6.344603221E0
5.766252140E-1,8.820000291E-1,-6.433000088E0,-3.221999884E0,7.248634177E0
